Employee ID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,D-Flag
E02027,Madison Patel,Test Engineer,Engineering,Corporate,Female,Asian,37,10/26/2013,"$69,125 ",0%,United States,Austin,0
E02028,Parker Desai,Manager,Accounting,Specialty Products,Male,Caucasian,53,8/10/2014,"$125,545 ",6%,United States,Austin,0
E02029,Valentina Valdez,Sr. Analyst,Finance,Research & Development,Male,Asian,43,11/8/2018,"$87,914 ",0%,China,Shanghai,0
E02030,Parker Dinh,Sr. Manager,Accounting,Research & Development,Female,Latino,40,5/1/2008,"$140,589 ",14%,Brazil,Manaus,0
E02031,Eliana Hsu,Vice President,Engineering,Specialty Products,Male,Asian,51,6/28/2006,"$206,423 ",36%,China,Beijing,0
E02032,Logan Parker,Operations Engineer,Human Resources,Specialty Products,Female,Asian,49,6/9/2021,"$123,738 ",0%,United States,Phoenix,0
E02033,Brooks Ngo,HRIS Analyst,Sales,Research & Development,Male,Caucasian,34,1/13/2019,"$58,120 ",0%,United States,Austin,0
E02034,Logan Rahman,Sr. Analyst,Engineering,Manufacturing,Male,Latino,41,5/19/2011,"$84,627 ",0%,Brazil,Manaus,0
E02035,Henry Rogers,Vice President,Human Resources,Corporate,Male,Caucasian,26,3/2/2020,"$211,114 ",30%,United States,Miami,0
E02036,Adrian James,Director,Sales,Specialty Products,Female,Asian,53,8/15/1994,"$72,693 ",0%,United States,Miami,0
E02037,Jayden Luu,Manager,IT,Specialty Products,Male,Caucasian,39,4/9/2022,"$73,779 ",0%,United States,Austin,0
E02038,Brooks Richardson,Sr. Account Representative,IT,Research & Development,Male,Caucasian,25,5/13/2004,"$77,557 ",22%,United States,Seattle,0
E02039,Ivy Thompson,Enterprise Architect,Accounting,Corporate,Male,Caucasian,52,11/24/2020,"$184,342 ",22%,United States,Chicago,0
E02040,Peyton Wright,Network Architect,Marketing,Manufacturing,Male,Asian,29,8/11/2004,"$151,341 ",5%,China,Miami,0
E02041,Wyatt Dinh,Director,Marketing,Specialty Products,Male,Caucasian,64,5/13/2017,"$118,900 ",10%,United States,Beijing,1
E02042,Ruby Alexander,Director,Marketing,Manufacturing,Female,Caucasian,58,3/15/2002,"$153,370 ",0%,United States,Seattle,1
E02043,Axel Oh,Manager,IT,Corporate,Female,Black,50,8/13/2001,"$72,860 ",36%,United States,Seattle,1
E02044,Axel Ramirez,Sr. Manager,Finance,Specialty Products,Male,Asian,41,10/24/2020,"$255,610 ",0%,China,Chicago,1
E02045,Liliana Chang,System Administrator ,Sales,Research & Development,Female,Caucasian,50,12/4/2017,"$84,962 ",7%,United States,Shanghai,1
E02046,Leonardo Carter,Vice President,Human Resources,Corporate,Male,Asian,59,1/11/2018,"$103,795 ",0%,China,Phoenix,1
E02047,Landon Gonzales,Sr. Analyst,IT,Specialty Products,Male,Latino,26,9/7/2022,"$97,509 ",0%,United States,Chengdu,1
E02048,Amelia Dominguez,Manager,Human Resources,Corporate,Female,Asian,55,8/30/2009,"$54,931 ",0%,China,Seattle,1
E02049,Silas Ross,Service Desk Analyst,Engineering,Specialty Products,Male,Caucasian,32,9/23/2015,"$88,689 ",15%,United States,Shanghai,1
E02050,Jeremiah Cheng,Business Partner,Accounting,Specialty Products,Male,Latino,50,2/10/2016,"$158,184 ",0%,United States,Austin,1
